Race Index,Placing,Track/Course,Dist.,Race Class,Going,Horse,Draw,Rtg.,Trainer,Gear,Body Wt.,Act. Wt.,Unnamed: 13,jockey_id,season,race_description,Race Sub Index,race_date,race_course,race_wins,first_place_win,second_place_win,third_place_win
680,1/12,AWT,1200,4,GD,FUN N FUN TOGETHER,8,51,F C Lor,B,1161,126,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),8,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
678,7/14,"Turf / ""C+3""",1400,5,GF,TIMESTORM,14,28,D J Hall,V/TT,1057,123,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),9,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
677,2/11,"Turf / ""B""",1200,3,GF,STORM RIDER,5,69,D A Hayes,CP,1109,129,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),1,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
675,5/12,"Turf / ""B""",1200,4,GF,SWAGGER BRO,9,56,D A Hayes,B,1148,131,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),2,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
674,1/12,"Turf / ""B""",1200,4,GF,BIENVENUE,9,49,D A Hayes,B,1105,125,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),3,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
673,4/12,"Turf / ""B""",1200,4,GF,SIGHT HAPPY,4,55,D A Hayes,CP,1095,130,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),4,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
672,2/7,"Turf / ""B""",1650,2,GF,SOLEIL FIGHTER,7,87,D A Hayes,XB,1102,122,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),5,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
671,8/12,"Turf / ""B""",1650,4,GF,SUNDAY'S SERENADE,12,59,J Richards,B/TT,1044,135,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),6,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
670,7/7,"Turf / ""B""",1000,3,GF,LOOKING BRIGHT,3,64,F C Lor,,1132,121,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),7,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
669,7/12,"Turf / ""B""",1800,5,GF,FLYING SILVER,6,36,C S Shum,CP-/B2/TT,1048,131,,PZ,Current,14/05/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 1 2nd 2 3rd 0),8,2025-05-14,Happy Valley Jockey Challenge,(Win 1 2nd 2 3rd 0,1,2,0
668,2/12,"Turf / ""C""",1200,2,G,BOTTOMUPTOGETHER,6,100,F C Lor,TT,1047,132,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),1,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
667,9/12,"Turf / ""C""",1200,3,G,ONE MORE,9,71,M Newnham,XB,1053,127,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),2,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
666,1/11,"Turf / ""C""",1400,3,G,LIGHT YEARS CHARM,3,78,D Eustace,XB,1220,134,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),3,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
665,2/11,AWT,1650,3,GD,CHILL KAKA,6,65,P F Yiu,V,1099,121,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),4,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
663,1/14,"Turf / ""C""",1400,4,G,PATCH OF STARS,1,57,K L Man,TT,1141,134,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),5,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
661,1/14,"Turf / ""C""",1400,4,G,FLASH CURRENT,7,58,K H Ting,TT,1044,133,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),6,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
660,2/14,"Turf / ""C""",1000,4,G,ALSONSO,13,60,M Newnham,,1186,135,,PZ,Current,10/05/2025 Sha Tin Jockey Challenge 1 Points :54 (Win 3 2nd 3 3rd 0),7,2025-05-10,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 3 3rd 0,3,3,0
658,2/12,"Turf / ""A""",1200,3,G,KING MILES,9,63,K W Lui,TT,1132,120,,PZ,Current,07/05/2025 Happy Valley Jockey Challenge 1 Points :12 (Win 0 2nd 2 3rd 0),1,2025-05-07,Happy Valley Jockey Challenge,(Win 0 2nd 2 3rd 0,0,2,0
657,2/12,"Turf / ""A""",1650,3,G,LUCKY TOUCH,3,63,J Richards,B/TT,1126,120,,PZ,Current,07/05/2025 Happy Valley Jockey Challenge 1 Points :12 (Win 0 2nd 2 3rd 0),2,2025-05-07,Happy Valley Jockey Challenge,(Win 0 2nd 2 3rd 0,0,2,0
656,5/12,"Turf / ""A""",1650,4,G,ICONICAL,12,52,J Richards,TT,1185,127,,PZ,Current,07/05/2025 Happy Valley Jockey Challenge 1 Points :12 (Win 0 2nd 2 3rd 0),3,2025-05-07,Happy Valley Jockey Challenge,(Win 0 2nd 2 3rd 0,0,2,0
655,,"Turf / ""A""",1200,4,G,AURIO,5,58,D A Hayes,SR/TT,1132,134,,PZ,Current,07/05/2025 Happy Valley Jockey Challenge 1 Points :12 (Win 0 2nd 2 3rd 0),4,2025-05-07,Happy Valley Jockey Challenge,(Win 0 2nd 2 3rd 0,0,2,0
652,11/11,"Turf / ""A""",2200,4,G,ROSEWOOD FLEETFOOT,4,49,J Richards,B/TT,1131,127,,PZ,Current,07/05/2025 Happy Valley Jockey Challenge 1 Points :12 (Win 0 2nd 2 3rd 0),5,2025-05-07,Happy Valley Jockey Challenge,(Win 0 2nd 2 3rd 0,0,2,0
649,12/13,"Turf / ""B""",1400,3,GF,THE BOOM BOX,8,76,W Y So,,1133,131,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),1,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
648,10/11,"Turf / ""B""",2000,3,GF,PACKING TURBINE,9,72,P C Ng,TT,1145,127,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),2,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
647,8/14,"Turf / ""B""",1400,4,GF,AMAZING RUN,2,47,D A Hayes,B/TT,1258,123,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),3,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
646,1/6,"Turf / ""B""",2400,G3,GF,BUNDLE AWARD,2,86,J Size,E,1077,123,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),4,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
645,2/14,"Turf / ""B""",1400,4,GF,SHAMUS STORM,4,54,D A Hayes,,1032,130,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),5,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
643,1/10,"Turf / ""B""",1200,3,GF,CROSSBORDERPEGASUS,10,70,J Size,TT,1200,127,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),6,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
642,4/7,"Turf / ""B""",1600,2,GF,MICKLEY,6,85,J Size,TT,1197,124,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),7,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
641,8/14,"Turf / ""B""",1200,4,GF,BETTER AND BETTER,8,52,F C Lor,H1,1171,129,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),8,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
640,12/14,"Turf / ""B""",1200,5,GF,SUPER EAGLE,4,35,W Y So,TT,1083,130,,PZ,Current,04/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),9,2025-05-04,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
638,10/12,"Turf / ""C+3""",1200,3,GF,ETERNAL FORTUNE,7,74,C S Shum,TT,1017,130,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),1,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
637,6/12,"Turf / ""C+3""",1650,3,GF,HAMERON,8,74,K W Lui,,1035,132,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),2,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
636,7/11,"Turf / ""C+3""",1200,3,GF,LO PAN SPIRIT,10,64,K H Ting,B/TT,1196,121,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),3,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
635,1/12,"Turf / ""C+3""",1200,4,GF,LOVING VIBES,8,47,K W Lui,CP-,1107,122,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),4,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
634,5/12,"Turf / ""C+3""",1800,4,GF,MISSION STRIKE,9,53,M Newnham,B1,1013,128,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),5,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
633,8/12,"Turf / ""C+3""",1200,4,GF,YEE CHEONG SPIRIT,7,57,C S Shum,XB/TT,1227,132,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),6,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
632,4/8,"Turf / ""C+3""",1000,2,GF,AURORA LADY,6,90,P C Ng,CP/TT,1167,128,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),7,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
631,1/12,"Turf / ""C+3""",1650,4,GF,THE AZURE,2,54,F C Lor,,1107,130,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),8,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
630,12/12,"Turf / ""C+3""",1650,5,GF,CERVIN,7,39,W Y So,TT,1041,134,,PZ,Current,30/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),9,2025-04-30,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
629,5/14,"Turf / ""A""",1400,3,G,EIGHTY LIGHT YEARS,13,68,T P Yung,B/TT,1261,127,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),1,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
628,13/14,"Turf / ""A""",1600,3,G,TOURBILLON PRINCE,5,79,T P Yung,TT,1162,135,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),2,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
627,10/11,"Turf / ""A""",2000,G1,G,EL VENCEDOR,1,,S Marsh,H/SR/TT,1130,126,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),3,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
626,5/13,"Turf / ""A""",1600,G1,G,GALAXY PATCH,11,124,P C Ng,CP1/TT1,1177,126,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),4,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
625,1/12,"Turf / ""A""",1200,3,G,MASTEROFMYUNIVERSE,2,73,J Size,H-,970,130,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),5,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
624,1/13,"Turf / ""A""",1200,G1,G,KA YING RISING,4,132,D A Hayes,,1115,126,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),6,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
623,9/10,"Turf / ""A""",1400,2,G,DIVANO,3,102,K W Lui,TT,1131,134,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),7,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
622,1/14,"Turf / ""A""",1400,4,G,PATCH OF STARS,8,50,K L Man,TT,1148,125,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),8,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
621,4/14,"Turf / ""A""",1200,4,G,DIRIYA,1,52,C H Yip,,1036,127,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),9,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
620,2/11,"Turf / ""A""",1800,4,G,BEAUTY VIVA,6,58,P C Ng,B2,1119,134,,PZ,Current,27/04/2025 Sha Tin Jockey Challenge 1 Points :42 (Win 3 2nd 1 3rd 0),10,2025-04-27,Sha Tin Jockey Jockey Challenge,(Win 3 2nd 1 3rd 0,3,1,0
619,11/12,"Turf / ""C""",1800,3,G,TURIN MASCOT,5,79,P C Ng,PC/TT,1121,134,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),1,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
618,1/12,"Turf / ""C""",1000,3,G,HORSEPOWER,10,79,F C Lor,XB/TT,1118,135,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),2,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
617,3/10,"Turf / ""C""",1200,3,G,KING OF FIGHTERS,3,68,A S Cruz,TT,1146,124,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),3,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
616,6/12,"Turf / ""C""",1650,4,G,FIREFOOT,8,49,W Y So,TT,1151,125,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),4,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
615,2/12,"Turf / ""C""",1200,4,G,BIENVENUE,7,47,D A Hayes,B,1100,123,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),5,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
614,7/12,"Turf / ""C""",1000,4,G,SIGHT HAPPY,11,55,D A Hayes,CP,1100,133,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),6,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
613,7/12,"Turf / ""C""",1200,4,G,SWAGGER BRO,11,58,D A Hayes,B,1150,134,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),7,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
612,8/12,"Turf / ""C""",1800,5,G,SUPER HONG KONG,12,34,C H Yip,V/TT,1045,129,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),8,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
611,4/12,"Turf / ""C""",1200,5,G,HOSS,11,33,W Y So,B/XB/TT,1122,128,,PZ,Current,23/04/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),9,2025-04-23,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
610,4/13,"Turf / ""C+3""",1400,3,GF,ANOTHER WORLD,7,73,T P Yung,CP,1107,132,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),1,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
609,5/12,"Turf / ""C+3""",1200,3,GF,PAKISTAN LEGACY,11,71,W Y So,CP/TT,1194,129,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),2,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
608,2/12,AWT,1200,3,GD,GUMMY GUMMY,8,79,T P Yung,B,1213,135,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),3,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
607,1/9,AWT,1200,2,GD,BOTTOMUPTOGETHER,4,91,F C Lor,TT,1058,122,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),4,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
606,4/11,"Turf / ""C+3""",1800,2,GF,BUNDLE AWARD,3,86,J Size,E,1069,121,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),5,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
605,1/14,AWT,1650,4,GD,CHILL KAKA,10,58,P F Yiu,V,1100,135,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),6,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
603,2/12,AWT,1200,4,GD,FUN N FUN TOGETHER,3,49,F C Lor,CP-/B1,1153,124,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),7,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
602,1/14,"Turf / ""C+3""",1400,4,GF,TOP DRAGON,3,56,W Y So,TT1,1088,133,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),8,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
601,1/14,AWT,1650,5,GD,MEEPMEEP,7,39,J Size,E/PC/TT,1065,130,,PZ,Current,20/04/2025 Sha Tin Jockey Challenge 1 Points :60 (Win 4 2nd 2 3rd 0),9,2025-04-20,Sha Tin Jockey Jockey Challenge,(Win 4 2nd 2 3rd 0,4,2,0
600,6/12,"Turf / ""B""",1650,3,GF,AESTHETICISM,8,73,P C Ng,,1069,128,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),1,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
599,10/12,"Turf / ""B""",1200,4,GF,NEVER TOO SOON,11,57,D J Hall,CP,1125,133,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),2,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
598,5/12,"Turf / ""B""",1200,4,GF,LOVING VIBES,7,47,K W Lui,CP2,1107,123,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),3,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
597,7/9,"Turf / ""B""",1200,3,GF,NUCLEOZOR,9,75,C S Shum,TT,1120,130,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),4,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
596,1/12,"Turf / ""B""",1650,4,GF,SUNDAY'S SERENADE,8,52,J Richards,B/TT,1036,128,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),5,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
595,4/9,"Turf / ""B""",1200,3,GF,DENFIELD,1,65,C S Shum,TT,1176,121,,PZ,Current,16/04/2025 Happy Valley Jockey Challenge 1 Points :24 (Win 2 2nd 0 3rd 0),6,2025-04-16,Happy Valley Jockey Challenge,(Win 2 2nd 0 3rd 0,2,0,0
