Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2012-01-01,13
1,1,SHANGHAI PIONEER  (CL252),B Doyle,CP,"Lacked early pace, remained in last few on rails, took closer order passing the Rock, saved ground on inside turning in, baulked for a run before quickening inside final 250 M to snatch victory near the line.",2012-01-04,1
2,2,TURIN CHAMPION  (M060),O Doleuze,XB,"Began fairly, midfield when steadied and lost position on 1000 M bend, remained in last few to straight, widest turning in, ran on well to be nearest at finish.",2012-01-04,1
3,4,MARVEL PLUS  (CL281),C Y Ho,CP-/TT,"Began with others, always thereabouts on rails, hit the front under pressure inside final 200 M only to be caught close to home.",2012-01-04,1
4,5,FAST INTENTIONS  (CL271),T Angland,B/TT,"Settled in midfield on rails, saved ground turning in, baulked for a run passing 200 M, kept on well to finish.",2012-01-04,1
5,10,FAIRY DRAGON  (CL018),D Beadman,B/TT,"Jumped one of the best from a wide gate but unable to cross to rails early, eventually took up running on rails 700 M out, led until headed inside 200 M, swamped for a placing late.",2012-01-04,1
6,11,HEY HA MASTER  (CL208),K C Leung,B2/TT,"Began with others, close up early, gradually drifted backward to be just better than midfield, fought on steadily in straight without quickening.",2012-01-04,1
7,9,METRO RIDER  (CJ264),Z Purton,H/XB,"Began with others, settled in rear of midfield, finished off race well inside final 200 M.",2012-01-04,1
8,3,MAGIC KING  (CH182),M L Yeung,B/TT,"Began moderately from a wide draw, soon dropped to rear, raced wide towards the rear far side, became last on the bend, made late impression past beaten horses. (Mild amount of mucus.)",2012-01-04,1
9,7,ASTROKID  (CL330),W M Lai,B,"Began moderately, hampered twice early dropping to tail-end, commenced move rounding home bend, made modest progress down inside of straight.",2012-01-04,1
10,6,HERO AND GOLD  (CK375),Y T Cheng,--,"Ridden along after beginning from the widest gate, settled mainly 3-wide without cover in 2L 4th far side, similar turning in, soon weakened under pressure.",2012-01-04,1
11,12,RUN TO WIN  (M133),M Du Plessis,B-/XB1/TT-,"Showed early speed to dispute lead, restrained for cover passing 800 M travelling in one-out-one-back position, weakened after straightening.",2012-01-04,1
12,8,BINGO BINGO  (CL196),M Guyon,B/TT,"Began with others, gradually settled wide in midfield, folded up quickly after straightening. (Blood in trachea.)",2012-01-04,1
1,2,LUCKY RECORD  (CL429),B Doyle,XB/TT,"Taken back from an outside gate and made its run from the rear, 2 deep with cover. Came widest in the final stretch & grabbed victory close to the line.",2012-01-04,2
2,12,SUNSHINE KID  (M080),O Doleuze,CP1/TT,Pushed straight to the lead and dictated terms along the rails. Had a decent break on the field at the 200m but was overhauled late. (Blood in trachea.),2012-01-04,2
3,8,TEAM WORK  (CH276),M Guyon,B,"Parked midfield the paint. Ran into some traffic early in the straight, got home nicely once in the clear near the furlong.",2012-01-04,2
4,1,HONEY FORTUNE  (M243),K C Leung,B/TT,Struck interference at the start and settled at the tail of the field along the paint. Closed off soundly to make the frame.,2012-01-04,2
5,9,ALL THE WINNERS  (CL019),T H So,V,Carried out into a 3 wide line rounding the first turn and travelled 3 deep thereafter with some cover. Maintained a sound gallop all the way down the running.,2012-01-04,2
6,6,DARK SECRET  (M213),G Cheyne,SR/TT,"Camped midfield, 1off with cover. Kept up a reasonable gallop in the run to the wire.",2012-01-04,2
7,3,LUCKY TYCOON  (CH318),C W Wong,B,Stalked the leader on the rails. Had every chance but failed to capitalize when asked for an effort in the final stretch.,2012-01-04,2
8,4,JOHN DORY  (M009),D Beadman,B,"Settled back towards the rear, 3 wide with cover. Struggled in the home straight.",2012-01-04,2
9,10,GRACYTOM  (CL408),C Y Ho,B/H,Tracked the leader along the fence early before racing keenly and taking up a position 1 out 1 back near the 700m. Faded over the concluding stages.,2012-01-04,2
